case_number,location,total_occupants,total_units,licence_commenced,licence_expires,licence_expires_date,is_active,normalized_address,postcode,house_number,street_name
20/01643/HMOLIC,"61 Catherine Street, OX4 3AH",5.0,5.0,2020-07-08,2025-10-27,2025-10-27,True,"61 Catherine Street, Ox4 3Ah",OX4 3AH,61,Catherine st
20/01893/HMOLIC,"15 Sheepway Court, OX4 4JL",5.0,5.0,2020-08-05,2025-08-04,2025-08-04,True,"15 Sheepway Court, Ox4 4Jl",OX4 4JL,15,Sheepway ct
20/01967/HMOLIC,"45 St Mary's Road, OX4 1PY",8.0,8.0,2020-08-18,2025-09-21,2025-09-21,True,"45 St Mary'S Road, Ox4 1Py",OX4 1PY,45,st Mary'S rd
20/02087/HMOLIC,"45 Gipsy Lane, Headington, OX3 7PT",5.0,5.0,2020-08-22,2025-08-21,2025-08-21,True,"45 Gipsy Lane, Headington, Ox3 7Pt",OX3 7PT,45,Gipsy ln
20/02103/HMOLIC,"9 Barnet Street, OX4 3AN",5.0,,2020-08-09,2025-08-08,2025-08-08,True,"9 Barnet Street, Ox4 3An",OX4 3AN,9,Barnet st
20/02185/HMOLIC,"224 Abingdon Road, OX1 4SP",8.0,,2020-09-24,2025-09-23,2025-09-23,True,"224 Abingdon Road, Ox1 4Sp",OX1 4SP,224,Abingdon rd
20/02300/HMOLIC,"170 Headley Way, OX3 7SZ",5.0,5.0,2020-08-11,2025-08-10,2025-08-10,True,"170 Headley Way, Ox3 7Sz",OX3 7SZ,170,Headley Way
20/02302/HMOLIC,"5 Coolidge Close, OX3 7NP",5.0,,2020-10-19,2025-10-18,2025-10-18,True,"5 Coolidge Close, Ox3 7Np",OX3 7NP,5,Coolidge cl
20/02305/HMOLIC,"60A Lime Walk, OX3 7AE",5.0,,2020-08-30,2025-08-29,2025-08-29,True,"60A Lime Walk, Ox3 7Ae",OX3 7AE,60A,Lime Walk
20/02378/HMOLIC,"222 Abingdon Road, OX1 4SP",7.0,8.0,2020-09-24,2025-09-23,2025-09-23,True,"222 Abingdon Road, Ox1 4Sp",OX1 4SP,222,Abingdon rd
20/02399/HMOLIC,"33 Pegasus Road, OX4 6DS",5.0,,2020-09-21,2025-09-20,2025-09-20,True,"33 Pegasus Road, Ox4 6Ds",OX4 6DS,33,Pegasus rd
20/02565/HMOLIC,"16 Glanville Road, OX4 2DD",5.0,5.0,2020-10-15,2025-10-14,2025-10-14,True,"16 Glanville Road, Ox4 2Dd",OX4 2DD,16,Glanville rd
20/02590/HMOLIC,"188 Sandy Lane, OX4 6LQ",5.0,,2020-10-07,2025-10-06,2025-10-06,True,"188 Sandy Lane, Ox4 6Lq",OX4 6LQ,188,Sandy ln
20/02720/HMOLIC,"100 Bayswater Road, OX3 9NZ",5.0,,2020-10-25,2025-10-24,2025-10-24,True,"100 Bayswater Road, Ox3 9Nz",OX3 9NZ,100,Bayswater rd
20/02747/HMOLIC,"18 Sutton Road, OX3 9RB",5.0,,2020-10-22,2026-01-26,2026-01-26,True,"18 Sutton Road, Ox3 9Rb",OX3 9RB,18,Sutton rd
20/02868/HMOLIC,"71 Hugh Allen Crescent, Marston, OX3 0HL",7.0,,2020-11-22,2025-11-21,2025-11-21,True,"71 Hugh Allen Crescent, Marston, Ox3 0Hl",OX3 0HL,71,Hugh Allen Crescent
20/02884/HMOLIC,"6 Alesworth Grove, OX3 9RD",6.0,5.0,2020-11-12,2025-11-11,2025-11-11,True,"6 Alesworth Grove, Ox3 9Rd",OX3 9RD,6,Alesworth grv
20/02930/HMOLIC,"85 Bulan Road, OX3 7HZ",8.0,,2020-11-28,2025-11-27,2025-11-27,True,"85 Bulan Road, Ox3 7Hz",OX3 7HZ,85,Bulan rd
20/02996/HMOLIC,"21 London Place, OX4 1BD",5.0,5.0,2020-11-26,2025-11-25,2025-11-25,True,"21 London Place, Ox4 1Bd",OX4 1BD,21,London pl
20/03043/HMOLIC,"57 Marston Street, OX4 1JU",6.0,,2020-11-02,2025-12-14,2025-12-14,True,"57 Marston Street, Ox4 1Ju",OX4 1JU,57,Marston st
20/03045/HMOLIC,"33 Church Hill Road, OX4 3SG",7.0,5.0,2020-11-04,2026-02-23,2026-02-23,True,"33 Church Hill Road, Ox4 3Sg",OX4 3SG,33,Church Hill rd
20/03087/HMOLIC,"12 Masons Road, OX3 8QJ",6.0,,2020-11-14,2025-11-13,2025-11-13,True,"12 Masons Road, Ox3 8Qj",OX3 8QJ,12,Masons rd
20/03103/HMOLIC,"22 Courtland Road, OX4 4JA",5.0,,2020-11-23,2025-11-22,2025-11-22,True,"22 Courtland Road, Ox4 4Ja",OX4 4JA,22,Courtland rd
20/03120/HMOLIC,"52 Oliver Road, OX4 2JF",5.0,,2020-11-21,2025-11-20,2025-11-20,True,"52 Oliver Road, Ox4 2Jf",OX4 2JF,52,Oliver rd
20/03230/HMOLIC,"19 Southfield Road, OX4 1NX",5.0,,2020-11-27,2025-11-26,2025-11-26,True,"19 Southfield Road, Ox4 1Nx",OX4 1NX,19,Southfield rd
20/03251/HMOLIC,"92 Bullingdon Road, OX4 1QL",5.0,,2020-12-10,2025-12-09,2025-12-09,True,"92 Bullingdon Road, Ox4 1Ql",OX4 1QL,92,Bullingdon rd
20/03287/HMOLIC,"18 Freelands Road, OX4 4BT",6.0,,2020-12-11,2025-12-10,2025-12-10,True,"18 Freelands Road, Ox4 4Bt",OX4 4BT,18,Freelands rd
20/03358/HMOLIC,"1 Halliday Hill, OX3 9PY",5.0,6.0,2020-12-24,2025-12-23,2025-12-23,True,"1 Halliday Hill, Ox3 9Py",OX3 9PY,1,Halliday Hill
20/03672/HMOLIC,"186 Howard Street, OX4 3BQ",7.0,,2021-01-07,2026-01-06,2026-01-06,True,"186 Howard Street, Ox4 3Bq",OX4 3BQ,186,Howard st
20/03713/HMOLIC,"3 Old Road, Headington, OX3 7JY",5.0,5.0,2021-01-19,2026-01-18,2026-01-18,True,"3 Old Road, Headington, Ox3 7Jy",OX3 7JY,3,Old rd
20/03910/HMOLIC,"16 Monmouth Road, OX1 4TD",5.0,4.0,2021-01-25,2026-01-24,2026-01-24,True,"16 Monmouth Road, Ox1 4Td",OX1 4TD,16,Monmouth rd
20/03984/HMOLIC,"79 Hurst Street, OX4 1HA",6.0,6.0,2021-01-27,2026-01-26,2026-01-26,True,"79 Hurst Street, Ox4 1Ha",OX4 1HA,79,Hurst st
20/03991/HMOLIC,"9 Glebe Street, OX4 1DQ",5.0,5.0,2021-01-13,2026-01-12,2026-01-12,True,"9 Glebe Street, Ox4 1Dq",OX4 1DQ,9,Glebe st
20/03992/HMOLIC,"78 Valentia Road, OX3 7PW",5.0,5.0,2021-01-25,2026-01-24,2026-01-24,True,"78 Valentia Road, Ox3 7Pw",OX3 7PW,78,Valentia rd
20/04042/HMOLIC,"43 Peat Moors, OX3 7HS",5.0,5.0,2021-02-04,2026-02-03,2026-02-03,True,"43 Peat Moors, Ox3 7Hs",OX3 7HS,43,Peat Moors
20/04066/HMOLIC,"46 Reliance Way, OX4 2FU",6.0,6.0,2021-02-06,2026-02-05,2026-02-05,True,"46 Reliance Way, Ox4 2Fu",OX4 2FU,46,Reliance Way
20/04113/HMOLIC,"238 Headington Road, OX3 7PR",15.0,,2021-01-21,2026-01-20,2026-01-20,True,"238 Headington Road, Ox3 7Pr",OX3 7PR,238,Headington rd
20/04120/HMOLIC,"1A Little Clarendon Street, OX1 2HP",13.0,10.0,2021-01-23,2026-02-23,2026-02-23,True,"1A Little Clarendon Street, Ox1 2Hp",OX1 2HP,1A,Little Clarendon st
20/04140/HMOLIC,"232 Marston Road, OX3 0EJ",6.0,,2021-02-06,2026-02-05,2026-02-05,True,"232 Marston Road, Ox3 0Ej",OX3 0EJ,232,Marston rd
20/04168/HMOLIC,"50 Wharton Road, OX3 8AJ",7.0,5.0,2021-02-26,2026-02-24,2026-02-24,True,"50 Wharton Road, Ox3 8Aj",OX3 8AJ,50,Wharton rd
20/04190/HMOLIC,"29 Langley Close, Headington, OX3 7DB",10.0,10.0,2021-01-25,2026-01-24,2026-01-24,True,"29 Langley Close, Headington, Ox3 7Db",OX3 7DB,29,Langley cl
20/04192/HMOLIC,"14 Monmouth Road, OX1 4TD",5.0,5.0,2021-01-25,2026-01-24,2026-01-24,True,"14 Monmouth Road, Ox1 4Td",OX1 4TD,14,Monmouth rd
20/04193/HMOLIC,"26 Cardinal Close, OX4 3UE",6.0,3.0,2021-01-25,2026-05-12,2026-05-12,True,"26 Cardinal Close, Ox4 3Ue",OX4 3UE,26,Cardinal cl
20/04199/HMOLIC,"2 Coniston Avenue, Headington, OX3 0AN",6.0,,2021-02-02,2026-03-17,2026-03-17,True,"2 Coniston Avenue, Headington, Ox3 0An",OX3 0AN,2,Coniston ave
20/04209/HMOLIC,"157 Windmill Road, Headington, OX3 7DW",6.0,,2021-02-13,2026-02-12,2026-02-12,True,"157 Windmill Road, Headington, Ox3 7Dw",OX3 7DW,157,Windmill rd
20/04235/HMOLIC,"16 Balliol Court, Rutherway, OX2 6QZ",5.0,5.0,2021-01-25,2026-01-24,2026-01-24,True,"16 Balliol Court, Rutherway, Ox2 6Qz",OX2 6QZ,16,Balliol ct
20/04260/HMOLIC,"16 John Buchan Road, Headington, OX3 9QN",7.0,2.0,2021-03-09,2026-03-08,2026-03-08,True,"16 John Buchan Road, Headington, Ox3 9Qn",OX3 9QN,16,John Buchan rd
21/00047/HMOLIC,"36 Malford Road, OX3 8BS",6.0,,2021-02-19,2026-02-18,2026-02-18,True,"36 Malford Road, Ox3 8Bs",OX3 8BS,36,Malford rd
21/00049/HMOLIC,"12 Meyseys Close, OX3 7SF",6.0,4.0,2021-03-23,2026-02-22,2026-02-22,True,"12 Meyseys Close, Ox3 7Sf",OX3 7SF,12,Meyseys cl
21/00171/HMOLIC,"25 Meyseys Close, OX3 7SF",5.0,,2021-03-30,2026-03-29,2026-03-29,True,"25 Meyseys Close, Ox3 7Sf",OX3 7SF,25,Meyseys cl
21/00291/HMOMAN,"8 Western Road, OX1 4LG",6.0,,2021-04-15,2026-04-14,2026-04-14,True,"8 Western Road, Ox1 4Lg",OX1 4LG,8,Western rd
21/00367/HMOMAN,"46 Cricket Road, OX4 3DQ",5.0,5.0,2021-05-01,2026-04-30,2026-04-30,True,"46 Cricket Road, Ox4 3Dq",OX4 3DQ,46,Cricket rd
21/00521/HMOMAN,"159 Harefields, OX2 8NR",7.0,,2021-05-08,2026-05-07,2026-05-07,True,"159 Harefields, Ox2 8Nr",OX2 8NR,159,Harefields
21/00601/HMOMAN,"65 Quarry Road, OX3 8NX",5.0,5.0,2021-05-06,2026-05-05,2026-05-05,True,"65 Quarry Road, Ox3 8Nx",OX3 8NX,65,Quarry rd
21/00713/HMOADD,"68 Bullingdon Road, OX4 1QL",4.0,,2021-09-02,2026-09-01,2026-09-01,True,"68 Bullingdon Road, Ox4 1Ql",OX4 1QL,68,Bullingdon rd
21/00719/HMOADD,"62 East Avenue, OX4 1XP",4.0,,2021-09-06,2026-09-05,2026-09-05,True,"62 East Avenue, Ox4 1Xp",OX4 1XP,62,East ave
21/00726/HMOADD,"Flat 1, 58 Windmill Road, OX3 7BX",3.0,3.0,2021-06-11,2026-10-13,2026-10-13,True,"Flat 1, 58 Windmill Road, Ox3 7Bx",OX3 7BX,1,Windmill rd
21/00730/HMOADD,"29 Argyle Street, OX4 1ST",4.0,,2021-07-21,2026-07-20,2026-07-20,True,"29 Argyle Street, Ox4 1St",OX4 1ST,29,Argyle st
21/00731/HMOADD,"118 Old Road, Headington, OX3 8SX",4.0,,2021-07-27,2026-07-26,2026-07-26,True,"118 Old Road, Headington, Ox3 8Sx",OX3 8SX,118,Old rd
21/00732/HMOADD,"17 Cherwell Drive, OX3 0NB",4.0,,2021-08-09,2026-08-08,2026-08-08,True,"17 Cherwell Drive, Ox3 0Nb",OX3 0NB,17,Cherwell dr
21/00738/HMOADD,"24 Cowley Road, OX4 1HZ",4.0,,2021-07-27,2026-07-26,2026-07-26,True,"24 Cowley Road, Ox4 1Hz",OX4 1HZ,24,Cowley rd
21/00741/HMOADD,"20 Marston Street, OX4 1JU",4.0,,2021-07-27,2026-07-26,2026-07-26,True,"20 Marston Street, Ox4 1Ju",OX4 1JU,20,Marston st
21/00746/HMOADD,"3 Acland Close, OX3 7XE",4.0,,2021-11-15,2026-11-14,2026-11-14,True,"3 Acland Close, Ox3 7Xe",OX3 7XE,3,Acland cl
21/00750/HMOADD,"21 Boulter Street, OX4 1AX",4.0,4.0,2021-09-06,2026-09-05,2026-09-05,True,"21 Boulter Street, Ox4 1Ax",OX4 1AX,21,Boulter st
21/00752/HMOADD,"33 Howard Street, OX4 3AY",4.0,,2021-07-27,2026-07-26,2026-07-26,True,"33 Howard Street, Ox4 3Ay",OX4 3AY,33,Howard st
21/00753/HMOADD,"1 Ablett Close, OX4 1XH",4.0,,2021-09-13,2026-09-12,2026-09-12,True,"1 Ablett Close, Ox4 1Xh",OX4 1XH,1,Ablett cl
21/00756/HMOADD,"71 Arlington Drive, OX3 0SL",4.0,,2021-08-09,2026-08-08,2026-08-08,True,"71 Arlington Drive, Ox3 0Sl",OX3 0SL,71,Arlington dr
21/00760/HMOMAN,"26 Essex Street, OX4 3AW",5.0,5.0,2021-06-18,2026-06-17,2026-06-17,True,"26 Essex Street, Ox4 3Aw",OX4 3AW,26,Essex st
21/00761/HMOADD,"108 Marlborough Road, OX1 4LS",4.0,4.0,2021-06-21,2026-10-13,2026-10-13,True,"108 Marlborough Road, Ox1 4Ls",OX1 4LS,108,Marlborough rd
21/00770/HMOADD,"12 Juxon Street, OX2 6DL",3.0,,2021-09-06,2026-09-05,2026-09-05,True,"12 Juxon Street, Ox2 6Dl",OX2 6DL,12,Juxon st
21/00772/HMOADD,"34 Hurst Street, OX4 1HB",4.0,,2021-11-15,2026-11-14,2026-11-14,True,"34 Hurst Street, Ox4 1Hb",OX4 1HB,34,Hurst st
21/00779/HMOADD,"2A Harcourt Terrace, OX3 7QF",4.0,,2021-11-15,2026-11-14,2026-11-14,True,"2A Harcourt Terrace, Ox3 7Qf",OX3 7QF,2A,Harcourt Terrace
21/00780/HMOMAN,"4 Parker Street, OX4 1TD",5.0,5.0,2021-06-26,2026-06-25,2026-06-25,True,"4 Parker Street, Ox4 1Td",OX4 1TD,4,Parker st
21/00781/HMOADD,"Flat 12, Juxon House, Juxon Street, OX2 6DR",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"Flat 12, Juxon House, Juxon Street, Ox2 6Dr",OX2 6DR,12,Juxon House
21/00783/HMOADD,"22 Cranham Terrace, OX2 6DG",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"22 Cranham Terrace, Ox2 6Dg",OX2 6DG,22,Cranham Terrace
21/00790/HMOADD,24 Cranham Terrace,3.0,,2021-08-27,2026-08-26,2026-08-26,True,24 Cranham Terrace,,24,Cranham Terrace
21/00793/HMOADD,25 Cranham Terrace,3.0,,2021-08-27,2026-08-26,2026-08-26,True,25 Cranham Terrace,,25,Cranham Terrace
21/00797/HMOADD,"Flat 14, Fettler's House Eagle Works, Walton Well Road, OX",4.0,,2021-08-27,2026-08-26,2026-08-26,True,"Flat 14, Fettler'S House Eagle Works, Walton Well Road, Ox",,14,Fettler'S House Eagle Works
21/00806/HMOADD,"Flat 24, Furnace House Eagle Works, Walton Well Road, OX",4.0,,2021-09-03,2026-09-02,2026-09-02,True,"Flat 24, Furnace House Eagle Works, Walton Well Road, Ox",,24,Furnace House Eagle Works
21/00811/HMOADD,"161 Morrell Avenue, OX4 1NG",4.0,,2021-09-14,2026-09-13,2026-09-13,True,"161 Morrell Avenue, Ox4 1Ng",OX4 1NG,161,Morrell ave
21/00814/HMOADD,"Beech House, 2B Jeune Street, OX4 1BN",4.0,,2021-06-22,2026-06-21,2026-06-21,True,"Beech House, 2B Jeune Street, Ox4 1Bn",OX4 1BN,2B,Beech House
21/00823/HMOADD,"3 Quarry High Street, OX3 8JT",4.0,,2021-08-04,2026-08-03,2026-08-03,True,"3 Quarry High Street, Ox3 8Jt",OX3 8JT,3,Quarry High st
21/00832/HMOADD,"Flat 1, Juxon House, Juxon Street, OX2 6DR",3.0,,2021-09-14,2026-09-13,2026-09-13,True,"Flat 1, Juxon House, Juxon Street, Ox2 6Dr",OX2 6DR,1,Juxon House
21/00836/HMOADD,"Flat 36, Furnace House Eagle Works, Walton Well Road, OX",4.0,,2021-08-27,2026-08-26,2026-08-26,True,"Flat 36, Furnace House Eagle Works, Walton Well Road, Ox",,36,Furnace House Eagle Works
21/00837/HMOADD,"2 Girdlestone Close, OX3 7NS",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"2 Girdlestone Close, Ox3 7Ns",OX3 7NS,2,Girdlestone cl
21/00839/HMOMAN,"120 Old Road, Headington, OX3 8SX",5.0,4.0,2021-07-30,2026-07-29,2026-07-29,True,"120 Old Road, Headington, Ox3 8Sx",OX3 8SX,120,Old rd
21/00840/HMOADD,"113 Morrell Avenue, OX4 1NG",4.0,,2021-06-24,2026-06-23,2026-06-23,True,"113 Morrell Avenue, Ox4 1Ng",OX4 1NG,113,Morrell ave
21/00848/HMOADD,"3 Girdlestone Close, OX3 7NS",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"3 Girdlestone Close, Ox3 7Ns",OX3 7NS,3,Girdlestone cl
21/00857/HMOADD,"6 Girdlestone Close, OX3 7NS",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"6 Girdlestone Close, Ox3 7Ns",OX3 7NS,6,Girdlestone cl
21/00859/HMOADD,"Flat 6, Juxon House, Juxon Street, OX2 6DR",3.0,,2021-09-14,2026-09-13,2026-09-13,True,"Flat 6, Juxon House, Juxon Street, Ox2 6Dr",OX2 6DR,6,Juxon House
21/00860/HMOADD,"9 Girdlestone Close, OX3 7NS",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"9 Girdlestone Close, Ox3 7Ns",OX3 7NS,9,Girdlestone cl
21/00862/HMOADD,"Flat 18, Juxon House, Juxon Street, OX2 6DR",3.0,,2021-09-14,2026-09-13,2026-09-13,True,"Flat 18, Juxon House, Juxon Street, Ox2 6Dr",OX2 6DR,18,Juxon House
21/00863/HMOADD,"48 Charles Street, OX4 3AS",4.0,,2021-08-05,2026-08-04,2026-08-04,True,"48 Charles Street, Ox4 3As",OX4 3AS,48,Charles st
21/00864/HMOADD,21 Cranham Terrace,3.0,,2021-09-14,2026-09-13,2026-09-13,True,21 Cranham Terrace,,21,Cranham Terrace
21/00866/HMOADD,"2 Juxon Street, OX2 6DL",4.0,,2021-08-27,2026-08-26,2026-08-26,True,"2 Juxon Street, Ox2 6Dl",OX2 6DL,2,Juxon st
21/00870/HMOADD,"3 Juxon Street, OX2 6DL",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"3 Juxon Street, Ox2 6Dl",OX2 6DL,3,Juxon st
21/00876/HMOADD,"10 Princes Street, OX4 1DD",4.0,,2021-08-09,2026-08-08,2026-08-08,True,"10 Princes Street, Ox4 1Dd",OX4 1DD,10,Princes st
21/00878/HMOADD,"23 Cranham Terrace, OX2 6DG",3.0,,2021-09-14,2026-09-13,2026-09-13,True,"23 Cranham Terrace, Ox2 6Dg",OX2 6DG,23,Cranham Terrace
21/00879/HMOADD,"34 Morrell Avenue, OX4 1ND",4.0,,2021-09-14,2026-09-13,2026-09-13,True,"34 Morrell Avenue, Ox4 1Nd",OX4 1ND,34,Morrell ave
21/00881/HMOADD,"8 Juxon Street, OX2 6DL",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"8 Juxon Street, Ox2 6Dl",OX2 6DL,8,Juxon st
21/00886/HMOADD,"Flat 3, Fettler's House Eagle Works, Walton Well Road, OX2",4.0,,2021-09-21,2026-09-20,2026-09-20,True,"Flat 3, Fettler'S House Eagle Works, Walton Well Road, Ox2",,3,Fettler'S House Eagle Works
21/00887/HMOADD,"Flat 5, Fettler's House Eagle Works, Walton Well Road, OX2",4.0,,2021-09-21,2026-09-20,2026-09-20,True,"Flat 5, Fettler'S House Eagle Works, Walton Well Road, Ox2",,5,Fettler'S House Eagle Works
21/00894/HMOADD,"Flat E, 217 Cowley Road, OX4 1XG",3.0,,2021-06-27,2026-06-26,2026-06-26,True,"Flat E, 217 Cowley Road, Ox4 1Xg",OX4 1XG,217,Cowley rd
21/00895/HMOADD,"Flat 9, Fettler's House Eagle Works, Walton Well Road, OX2",4.0,,2021-09-21,2026-09-20,2026-09-20,True,"Flat 9, Fettler'S House Eagle Works, Walton Well Road, Ox2",,9,Fettler'S House Eagle Works
21/00896/HMOADD,"Flat F, 217 Cowley Road, OX4 1XG",3.0,,2021-06-27,2026-06-26,2026-06-26,True,"Flat F, 217 Cowley Road, Ox4 1Xg",OX4 1XG,217,Cowley rd
21/00897/HMOADD,"5 Hurst Street, OX4 1EZ",4.0,4.0,2021-06-28,2026-06-27,2026-06-27,True,"5 Hurst Street, Ox4 1Ez",OX4 1EZ,5,Hurst st
21/00898/HMOADD,"79 East Avenue, OX4 1XR",4.0,,2021-11-15,2026-11-14,2026-11-14,True,"79 East Avenue, Ox4 1Xr",OX4 1XR,79,East ave
21/00917/HMOADD,"4A Northfield Road, OX3 9EW",4.0,,2021-09-14,2026-09-13,2026-09-13,True,"4A Northfield Road, Ox3 9Ew",OX3 9EW,4A,Northfield rd
21/00923/HMOADD,"217A Cowley Road, OX4 1XG",3.0,,2021-08-05,2026-08-04,2026-08-04,True,"217A Cowley Road, Ox4 1Xg",OX4 1XG,217A,Cowley rd
21/00950/HMOADD,"Flat 30, Furnace House Eagle Works, Walton Well Road, OX",4.0,,2021-09-21,2026-09-20,2026-09-20,True,"Flat 30, Furnace House Eagle Works, Walton Well Road, Ox",,30,Furnace House Eagle Works
21/00960/HMOADD,"17 Juxon Street, OX2 6DL",3.0,,2021-08-27,2026-08-26,2026-08-26,True,"17 Juxon Street, Ox2 6Dl",OX2 6DL,17,Juxon st
21/00968/HMOADD,"21 Juxon Street, OX2 6DL",3.0,,2021-09-06,2026-09-05,2026-09-05,True,"21 Juxon Street, Ox2 6Dl",OX2 6DL,21,Juxon st
21/00972/HMOADD,"23 Juxon Street, OX2 6DL",3.0,,2021-09-03,2026-09-02,2026-09-02,True,"23 Juxon Street, Ox2 6Dl",OX2 6DL,23,Juxon st
21/00989/HMOADD,"5 Girdlestone Close, OX3 7NS",3.0,,2021-09-29,2026-09-28,2026-09-28,True,"5 Girdlestone Close, Ox3 7Ns",OX3 7NS,5,Girdlestone cl
21/00990/HMOADD,"8 Girdlestone Close, OX3 7NS",3.0,,2021-09-29,2026-09-28,2026-09-28,True,"8 Girdlestone Close, Ox3 7Ns",OX3 7NS,8,Girdlestone cl
21/00991/HMOADD,"1 Monard Terrace, Denmark Street, OX4 1QR",3.0,,2021-09-29,2026-09-28,2026-09-28,True,"1 Monard Terrace, Denmark Street, Ox4 1Qr",OX4 1QR,1,Monard Terrace
21/00993/HMOADD,"97 Hurst Street, OX4 1HA",4.0,,2021-09-29,2026-09-28,2026-09-28,True,"97 Hurst Street, Ox4 1Ha",OX4 1HA,97,Hurst st
21/00995/HMOADD,"1A Fletcher Road, OX4 2UE",3.0,,2021-09-03,2026-09-02,2026-09-02,True,"1A Fletcher Road, Ox4 2Ue",OX4 2UE,1A,Fletcher rd
21/00998/HMOADD,"18 Kirby Place, Cowley, OX4 2RX",4.0,4.0,2021-08-11,2026-08-10,2026-08-10,True,"18 Kirby Place, Cowley, Ox4 2Rx",OX4 2RX,18,Kirby pl
21/00999/HMOADD,"10 Juxon Street, OX2 6DL",3.0,,2021-10-07,2026-10-06,2026-10-06,True,"10 Juxon Street, Ox2 6Dl",OX2 6DL,10,Juxon st
21/01001/HMOADD,"71 New High Street, OX3 7AL",4.0,,2021-10-18,2026-10-17,2026-10-17,True,"71 New High Street, Ox3 7Al",OX3 7AL,71,New High st
21/01002/HMOADD,"39 Juxon Street, OX2 6DJ",3.0,,2021-09-06,2026-09-05,2026-09-05,True,"39 Juxon Street, Ox2 6Dj",OX2 6DJ,39,Juxon st
21/01009/HMOADD,"47 Demesne Furze, OX3 7XG",3.0,,2021-09-06,2026-09-05,2026-09-05,True,"47 Demesne Furze, Ox3 7Xg",OX3 7XG,47,Demesne Furze
21/01010/HMOADD,"73 New High Street, OX3 7AL",4.0,,2021-09-29,2026-09-28,2026-09-28,True,"73 New High Street, Ox3 7Al",OX3 7AL,73,New High st
21/01014/HMOADD,"12 Temple Street, OX4 1JS",4.0,4.0,2021-09-29,2026-09-28,2026-09-28,True,"12 Temple Street, Ox4 1Js",OX4 1JS,12,Temple st
21/01016/HMOADD,"45 Juxon Street, OX2 6DJ",3.0,,2021-09-03,2026-09-02,2026-09-02,True,"45 Juxon Street, Ox2 6Dj",OX2 6DJ,45,Juxon st
21/01017/HMOADD,"127A Bullingdon Road, OX4 1QP",3.0,,2021-09-29,2026-09-28,2026-09-28,True,"127A Bullingdon Road, Ox4 1Qp",OX4 1QP,127A,Bullingdon rd
21/01018/HMOADD,"46 Juxon Street, OX2 6DJ",3.0,,2021-09-29,2026-09-28,2026-09-28,True,"46 Juxon Street, Ox2 6Dj",OX2 6DJ,46,Juxon st
21/01019/HMOADD,"53 Juxon Street, OX2 6DJ",4.0,,2021-09-29,2026-09-28,2026-09-28,True,"53 Juxon Street, Ox2 6Dj",OX2 6DJ,53,Juxon st
21/01020/HMOADD,"418 Marston Road, OX3 0JE",4.0,,2021-10-07,2026-10-06,2026-10-06,True,"418 Marston Road, Ox3 0Je",OX3 0JE,418,Marston rd
21/01023/HMOADD,"55 Juxon Street, OX2 6DJ",3.0,,2021-09-29,2026-09-28,2026-09-28,True,"55 Juxon Street, Ox2 6Dj",OX2 6DJ,55,Juxon st
21/01024/HMOADD,"Flat 6, Crescent Court, 161 Crescent Road, OX4 2NX",3.0,,2021-10-07,2026-10-06,2026-10-06,True,"Flat 6, Crescent Court, 161 Crescent Road, Ox4 2Nx",OX4 2NX,6,Crescent ct
21/01027/HMOADD,"60 Juxon Street, OX2 6DJ",4.0,,2021-10-11,2026-10-10,2026-10-10,True,"60 Juxon Street, Ox2 6Dj",OX2 6DJ,60,Juxon st
21/01035/HMOADD,"74 Bullingdon Road, OX4 1QL",4.0,,2021-08-27,2026-08-26,2026-08-26,True,"74 Bullingdon Road, Ox4 1Ql",OX4 1QL,74,Bullingdon rd
21/01039/HMOADD,"20 Temple Street, OX4 1JS",3.0,,2021-10-08,2026-10-07,2026-10-07,True,"20 Temple Street, Ox4 1Js",OX4 1JS,20,Temple st
21/01048/HMOADD,"13 Randolph Street, OX4 1XY",3.0,,2021-06-11,2026-06-10,2026-06-10,True,"13 Randolph Street, Ox4 1Xy",OX4 1XY,13,Randolph st
21/01053/HMOADD,"14 John Snow Place, OX3 8BB",4.0,,2021-09-06,2026-09-05,2026-09-05,True,"14 John Snow Place, Ox3 8Bb",OX3 8BB,14,John Snow pl
21/01065/HMOADD,"7 Acland Close, OX3 7XE",3.0,,2021-10-13,2026-10-12,2026-10-12,True,"7 Acland Close, Ox3 7Xe",OX3 7XE,7,Acland cl
21/01069/HMOADD,"2 Ferry Hinksey Road, OX2 0BY",4.0,,2021-10-11,2026-10-10,2026-10-10,True,"2 Ferry Hinksey Road, Ox2 0By",OX2 0BY,2,Ferry Hinksey rd
21/01072/HMOADD,"48 Juxon Street, OX2 6DJ",4.0,,2021-10-11,2026-10-10,2026-10-10,True,"48 Juxon Street, Ox2 6Dj",OX2 6DJ,48,Juxon st
21/01079/HMOADD,"1 Kingston Road, OX2 6EF",4.0,4.0,2021-10-13,2026-10-12,2026-10-12,True,"1 Kingston Road, Ox2 6Ef",OX2 6EF,1,Kingston rd
